"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Algeria","DZA","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.4","3.4","3.3","3.1","3","2.8","2.7","2.6","2.5","2.3","2.2","2.2","2.1","2.1","2","2","1.9","1.9","1.9","1.8","","","",
"East Asia & Pacific (excluding high income)","EAP","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1608487144185","9.76139798010812","8.7742437444689","8.99444711277953","9.27660286954957","8.95332785746722","8.44475952120608","7.8701862579409","7.43756302873867","7.08967294408553","6.65237583027328","6.2448839138938","5.73296092876049","5.45026753583112","5.23592624364944","5.01913897002115","4.94935816956462","4.93389909368795","4.9238843831658","4.85730087298059","","","",
"Early-demographic dividend","EAR","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.81703732388101","8.60600538370761","8.2465461031583","7.81363262776928","7.59688535187167","7.60375009465271","7.49136733957058","7.23535388791198","7.12397453727191","7.03333815336369","7.16374114288076","7.07229156823884","6.76441176608338","6.54452084278451","6.20552798044303","6.08862795537891","5.96354789862561","5.88662236552111","6.0586867380807","6.08003622149067","","","",
"East Asia & Pacific","EAS","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.1951947017927","9.91393251972373","9.08973223768915","9.39960392553211","9.62929652539489","9.38194080608973","8.88967257981468","8.50638230660028","8.11213975697839","7.88204845975136","7.45751275124814","7.08759949420952","6.49448422017623","6.20575162569516","5.94124531848609","5.67760179136688","5.54411821896995","5.48000637844905","5.49199672467591","5.39972102679261","","","",
"Europe & Central Asia (excluding high income)","ECA","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3343535360524","10.0651159619223","10.0576238250506","9.89569069124482","9.62356958602138","9.58239402780453","8.94631514535485","8.62362659843591","8.45924165948935","8.10186956115582","7.90228342167262","7.59617464944321","7.39309577169168","7.1292577067586","7.13282231979959","6.90027414919646","6.71752342521645","6.19315690657449","6.1101656729364","5.82516673587048","","","",
"Europe & Central Asia","ECS","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46263460943418","8.14519693427123","8.26080999883854","8.12206799414778","7.92314980734384","7.84477129893745","7.39822964731861","7.13975334220464","7.11560196101984","6.91151322896569","6.82452623873813","6.66219135335777","6.60880116546293","6.57441580841981","6.49500139162764","6.41627332396282","6.10874842428761","5.93156992316857","5.86000570909145","5.64939316680721","","","",
"Ecuador","ECU","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.3","4.6","5.1","5.2","5.6","5.7","6","5.7","5.7","5.6","5.5","5.3","5.2","4.9","4.5","4.3","4.3","4.3","3.9","3.6","","","",
"Egypt, Arab Rep.","EGY","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.4","2.4","2.4","2.4","2.3","2.3","2.3","2.2","2.2","2.2","2.3","2.2","2.3","2.1","2.1","2.2","2.1","2","2","2","","","",
"Euro area","EMU","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.353301564212","7.08280346641964","7.24089558460541","7.18841303006274","6.92811767839014","6.78349087645016","6.41157505086397","6.2593816564703","6.32179777852","6.31298995977065","6.30540417790184","6.26811210386609","6.36821610735714","6.53545895262854","6.3464084801405","6.35448533064178","5.97610977149143","6.09002609886508","6.05494945623386","5.85651862472246","","","",
"Eritrea","ERI","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","5.9","5.9","5.5","5.6","5.7","5.9","5.8","6.2","6.1","5.9","5.8","5.7","5.6","5.5","5.5","5.4","5.4","5.3","5.2","","","",
"Spain","ESP","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.2","3.9","4.1","4.1","4.2","4","3.5","3.7","3.6","3.5","3.1","3.4","3.6","4.2","4.3","4.1","4.1","4.3","4.1","4.2","","","",
"Estonia","EST","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.6","11.8","10.2","9.3","8.9","8.2","8.8","7.1","7.9","7.3","6.6","5.9","7.6","7.2","7.2","5.4","6.2","8.1","7.1","6.5","","","",
"Ethiopia","ETH","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.1","6","5.8","5.7","5.5","5.4","5.2","5.1","5","4.8","4.4","4.1","3.6","3.2","3.2","3.2","3.1","3.1","3.1","3.1","","","",
"European Union","EUU","Suicide mortality rate, female (per 100,000 female population)","SH.STA.SUIC.FE.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.37790437071543","7.00753270003899","7.18685389197974","7.05112932745044","6.84400033280755","6.74611643466142","6.42207353910023","6.21709161989275","6.28732366526203","6.254061036959","6.25266762507058","6.14037697182949","6.26063678030664","6.37688894465666","6.19601070029143","6.16009895075509","5.75659450628764","5.86596255185503","5.7853816461748","5.62540327367849","","","",
